Family,Species,Count
Andrenidae,Andrena miranda,44
,Andrena cressoni,15
,Andrena biseleasis,6
,Andrena crataegi,2
Apidae,Melissodes bimaculatus,62
,Apis mellifera,46
,Bombus impatiens,39
,Melissodes desponsus,14
,Ceratina calcarata,4
,Bombus vagans,4
,Melissodes druinellus,2
,Melissodes denticulatus,1
Megachilidae,Megachile texana,35
,Megachile campunulae,17
,Osmia pumila,9
Halictidae,Lasioglossum cressonii,108
,Halictus rubicundus,34
,Lasioglossum smilacinae ,22
,Agapostemon virescens,13
,Lasioglossum pilosum,8
,Augochorella aurata,8
,Lasioglossum laevissimum,3